Company,Product,Inches,Cpu,Ram,Weight,Price_euros
HP,Omen 15-ce006nv,17.3,Intel Core i7 7700HQ 2.8GHz,12GB,2.62kg,1799
Lenovo,Thinkpad E470,14,Intel Core i7 7500U 2.7GHz,8GB,1.87kg,859
Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.2kg,1399
Dell,Vostro 5468,14,Intel Core i3 6006U 2GHz,4GB,1.6kg,735.87
HP,Envy 13-AB020nr,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.34kg,1145
Acer,Aspire 7,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.4kg,798
Asus,VivoBook X540YA-XX519T,15.6,AMD E-Series 7110 1.8GHz,4GB,2kg,349
HP,ProBook 450,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.1kg,705.5
Lenovo,ThinkPad E470,14,Intel Core i5 7200U 2.5GHz,4GB,1.87kg,785
Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,15.6,Intel Core i5 6200U 2.3GHz,4GB,2.15kg,462.35
HP,250 G6,15.6,Intel Core i3 6006U 2GHz,4GB,1.86kg,397
Lenovo,ThinkPad T570,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.99kg,1729
Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,499
Dell,Latitude 5580,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.9kg,1116.99
Dell,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.42kg,2699
HP,17-X047na (i3-6006U/8GB/1TB/W10),17.3,Intel Core i3 6006U 2GHz,8GB,2.65kg,544.15
HP,ProBook 470,17.3,Intel Core i7 7500U 2.7GHz,8GB,2.63kg,1280
Asus,A541NA-GO342 (N3350/4GB/500GB/Linux),15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2kg,224
Mediacom,SmartBook 130,13.3,Intel Atom x5-Z8350 1.44GHz,4GB,1.35kg,255
Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i7 7500U 2.7GHz,6GB,2.8kg,949
HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon,15.6,AMD A10-Series A10-9620P 2.5GHz,6GB,1.91kg,568.9
Dell,Vostro 3568,15.6,Intel Core i3 6006U 2GHz,4GB,2.18kg,617.9
Acer,Spin SP111-31,11.6,Intel Celeron Dual Core N3350 2.0GHz,4GB,1.25kg,349
Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),15.6,Intel Core i3 7130U 2.7GHz,4GB,2.05kg,630
HP,EliteBook 1030,13.3,Intel Core M 6Y75 1.2GHz,16GB,1.16kg,1965
Lenovo,Thinkpad P71,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,3.4kg,2999
Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.5kg,839
Dell,XPS 13,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.21kg,1599
Dell,Latitude 5580,15.6,Intel Core i5 7300U 2.6GHz,4GB,1.93kg,959
Fujitsu,Lifebook A557,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,739
Lenovo,IdeaPad 320-15IAP,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.2kg,344
Lenovo,ThinkPad L470,14,Intel Core i5 7200U 2.5GHz,4GB,2.02kg,990
HP,ZBook 17,17.3,Intel Core i5 7440HQ 2.8GHz,8GB,3.14kg,1860.99
HP,14-am079na (N3710/8GB/2TB/W10),14,Intel Pentium Quad Core N3710 1.6GHz,8GB,1.94kg,389
HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,15.6,AMD A9-Series A9-9420 3GHz,6GB,1.95kg,649
Lenovo,Thinkpad E570,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.3kg,830
Lenovo,V330-15IKB (i5-8250U/4GB/500GB/FHD/W10),15.6,Intel Core i5 8250U 1.6GHz,4GB,2.05kg,685
Mediacom,SmartBook 141,14,Intel Atom x5-Z8350 1.44GHz,4GB,1.4kg,249
Toshiba,Tecra X40-D-10H,14,Intel Core i7 7500U 2.7GHz,16GB,1.24kg,1865
Lenovo,IdeaPad Y910-17ISK,17.3,Intel Core i7 6820HK 2.7GHz,32GB,4.6kg,2663
MSI,GT73VR Titan,17.3,Intel Core i7 7820HK 2.9GHz,16GB,4.14kg,2729
Dell,Inspiron 3567,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,749.01
Mediacom,SmartBook Edge,14,Intel Celeron Quad Core N3450 1.1GHz,4GB,1.45kg,389
Dell,Latitude 5580,15.6,Intel Core i5 7300U 2.6GHz,8GB,1.9kg,1008.52
HP,ProBook 430,13.3,Intel Core i3 7100U 2.4GHz,4GB,1.49kg,719
Dell,Latitude 5580,15.6,Intel Core i7 7600U 2.8GHz,16GB,1.93kg,1537.39
Dell,Chromebook 11,11.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.26kg,295
MSI,GT80S 6QE,17.3,Intel Core i7 6820HK 2.7GHz,16GB,4.5kg,2349
HP,Omen 17-AN010nv,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,3.78kg,1498
Lenovo,Thinkpad T460s,14,Intel Core i7 6600U 2.6GHz,12GB,1.4kg,1673
Lenovo,Ideapad 320-15IKBR,15.6,Intel Core i7 8550U 1.8GHz,12GB,2.2kg,609
Asus,ROG Strix,17.3,Intel Core i5 7300HQ 2.5GHz,8GB,2.73kg,1770
Asus,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,739
Lenovo,IdeaPad 320-15ABR,15.6,AMD A12-Series 9720P 3.6GHz,12GB,2.2kg,949
Dell,Inspiron 3179,11.6,Intel Core M 7Y30 1.0GHz,4GB,1.39kg,603
Samsung,Notebook Odyssey,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.5kg,1699
Lenovo,V320-17ISK (i3-6006U/4GB/500GB/FHD/No,17.3,Intel Core i3 6006U 2GHz,4GB,2.8kg,529
Lenovo,IdeaPad 110-15ISK,15.6,Intel Core i3 6100U 2.3GHz,8GB,2.29kg,459
Lenovo,ThinkPad Yoga,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.37kg,2025
Lenovo,Thinkpad T470p,14,Intel Core i5 7300HQ 2.5GHz,8GB,1.7kg,1474
Dell,Latitude 5289,12.5,Intel Core i5 7200U 2.5GHz,8GB,1.34kg,1670
Dell,Precision 3520,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.06kg,1763
HP,EliteBook 850,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.84kg,1219
HP,ProBook 450,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.1kg,668.48
Acer,Aspire 1,14,Intel Celeron Quad Core N3450 1.1GHz,4GB,1.6kg,329
MSI,Laptop MSI,17.3,Intel Core i7 6820HK 2.7GHz,16GB,4.14kg,2199
Dell,Vostro 3568,15.6,Intel Core i3 6006U 2GHz,4GB,2.18kg,465
MSI,GS63VR 7RF,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,1.8kg,2299
Toshiba,Tecra Z50-C-144,15.6,Intel Core i7 6500U 2.5GHz,8GB,2.2kg,1399
Lenovo,IdeaPad 310-15IKB,15.6,Intel Core i5 7200U 2.5GHz,6GB,2.4kg,564
Lenovo,Yoga 720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2kg,1299
Acer,Swift SF114-31-P5HY,14,Intel Pentium Quad Core N3710 1.6GHz,4GB,1.6kg,349
Lenovo,Thinkpad P51,15.6,Intel Xeon E3-1535M v6 3.1GHz,32GB,2.5kg,4899
Dell,Inspiron 7559,15.6,Intel Core i7 6700HQ 2.6GHz,16GB,2.59kg,879.01
Dell,Vostro 3568,15.6,Intel Core i3 6006U 2.0GHz,4GB,2.18kg,443.9
Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2.0GHz,4GB,2.25kg,359
Dell,Latitude 5580,15.6,Intel Core i5 7300U 2.6GHz,4GB,1.93kg,869
Asus,FX753VD-GC007T (i7-7700HQ/8GB/1TB,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,3kg,1168
Dell,Vostro 3568,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.18kg,569
HP,EliteBook 850,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.84kg,1389
MSI,GT62VR 7RE,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.94kg,2267.86
Acer,CB5-132T-C9KK (N3160/4GB/32GB/Chrome,11.6,Intel Celeron Quad Core N3160 1.6GHz,4GB,1.25kg,379
HP,ProBook 650,14,Intel Core i5 7300U 2.6GHz,8GB,2.31kg,1124
Lenovo,ThinkPad T470,14,Intel Core i5 6200U 2.3GHz,8GB,1.65kg,1465
Dell,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,4GB,2.2kg,776
Fujitsu,LifeBook A557,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,799
HP,EliteBook 850,15.6,Intel Core i5 6200U 2.3GHz,4GB,1.88kg,932
Lenovo,IdeaPad 320-15IKB,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,899
Mediacom,SmartBook 140,14,Intel Atom x5-Z8350 1.44GHz,2GB,1.4kg,239
Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.2kg,468
Asus,Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),13.3,Intel Core i5 7200U 2.5GHz,6GB,1.5kg,639.01
Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2kg,1820
Asus,ZenBook 3,14,Intel Core i7 7500U 2.7GHz,16GB,1.1kg,1900
Dell,Inspiron 7567,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.62kg,1479
Lenovo,V330-15IKB (i5-8250U/4GB/256GB/FHD/W10),15.6,Intel Core i5 8250U 1.6GHz,4GB,1.8kg,829
Lenovo,Ideapad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,579
Asus,X541NA-GO414T (N3350/8GB/1TB/W10),15.6,Intel Celeron Dual Core N3350 1.1GHz,8GB,2kg,399
Asus,VivoBook Pro,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,1.99kg,906.62
Dell,XPS 13,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.23kg,1869
Lenovo,IdeaPad 100S-14IBR,14,Intel Celeron Dual Core N3060 1.6GHz,2GB,1.42kg,249
Lenovo,Thinkpad Yoga,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.37kg,1757.42
Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.06kg,2399
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,1109
HP,17-AK091ND (A9-9420/8GB/1TB/W10),17,AMD A9-Series 9420 3GHz,8GB,2.6kg,520.9
Lenovo,ThinkPad X1,14,Intel Core i7 7500U 2.7GHz,16GB,1.14kg,2450
Asus,ROG GL553VE-FY022,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,1169
Acer,Extensa EX2540,15.6,Intel Core i3 6006U 2GHz,4GB,2.4kg,450
Lenovo,IdeaPad 100S-14IBR,14,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.43kg,274
Acer,Swift 3,14,Intel Core i5 7200U 2.5GHz,8GB,1.8kg,919
Razer,Blade Pro,14,Intel Core i7 7700HQ 2.8GHz,16GB,1.95kg,2599
Toshiba,Portege Z30-C-16J,13.3,Intel Core i5 6200U 2.3GHz,8GB,1.2kg,1213
Lenovo,Thinkpad X270,12.5,Intel Core i7 7500U 2.7GHz,8GB,1.36kg,1584
Asus,ROG G701VI,17.3,Intel Core i7 6820HK 2.7GHz,32GB,3.8kg,2799
Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.4kg,709
Dell,XPS 13,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.2kg,1449.9
MSI,GL62M 7REX,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.2kg,1191.8
HP,250 G6,15.6,Intel Core i3 6006U 2GHz,4GB,1.86kg,364.9
Toshiba,Tecra A50-D-11M,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.0kg,1064
Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,919
Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,16GB,2.2kg,1135
Lenovo,IdeaPad Y700-15ISK,15.6,Intel Core i7 6700HQ 2.6GHz,8GB,3.31kg,1196
Dell,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,32GB,4.42kg,3147.37
Dell,Latitude E7470,14,Intel Core i5 6300U 2.4GHz,8GB,1.56kg,1229
Lenovo,Ideapad 320-15IAP,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2.2kg,419
Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i5 6200U 2.3GHz,4GB,2.2kg,535
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,15.6,Intel Core i3 6006U 2GHz,6GB,2.04kg,539
MSI,GP72VR Leopard,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,2.7kg,1486.77
Toshiba,Satellite Pro,15.6,Intel Core i3 6100U 2.1GHz,4GB,2.1kg,498
Dell,Latitude 3580,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.06kg,955
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.1kg,745
Toshiba,Tecra Z50-D-10E,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.0kg,1258
Acer,Aspire 3,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,412
Microsoft,Surface Laptop,13.5,Intel Core i7 7600U 2.8GHz,8GB,1.252kg,1867.85
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.90kg,817.95
Lenovo,Yoga 720-13IKB,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.3kg,1034
Lenovo,IdeaPad 320-15AST,15.6,AMD E-Series E2-9000 2.2GHz,4GB,2.2kg,349
HP,Pavilion X360,14,Intel Core i3 7100U 2.4GHz,4GB,1.63kg,699
MSI,GP62 7RDX,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.4kg,1294
Asus,Zenbook 3,14,Intel Core i5 7200U 2.5GHz,8GB,1.1kg,1135
HP,Chromebook X360,11.6,Intel Celeron Dual Core N3350 1.1GHz,8GB,1.4kg,495
LG,Gram 15Z975,15.6,Intel Core i7 8550U 1.8GHz,8GB,1.09kg,2299
Acer,Aspire VX5-591G,15.6,Intel Core i5 7300HQ 2.5GHz,16GB,2.5kg,1299
MSI,GV62M 7RD,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.2kg,997.9
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.86kg,419
Dell,Alienware 15,15.6,Intel Core i5 7300HQ 2.5GHz,16GB,3.21kg,2051
HP,17-bs000nv I3,17.3,Intel Core i3 6006U 2GHz,4GB,2.5kg,699
Lenovo,Yoga 730,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.19kg,1499
Dell,Alienware 15,15.6,Intel Core i7 7820HK 2.9GHz,16GB,3.49kg,2813.75
HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,4GB,1.86kg,612.61
Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,545.67
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,17.3,AMD A10-Series 9600P 2.4GHz,6GB,2.65kg,569
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),15.6,Intel Celeron Dual Core 3855U 1.6GHz,4GB,2.1kg,318
Acer,Chromebook 14,14,Intel Celeron Dual Core 3855U 1.6GHz,4GB,1.45kg,375
Lenovo,IdeaPad 520s-14IKB,14,Intel Core i5 7200U 2.5GHz,4GB,1.7kg,699
HP,ZBook 17,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,3.14kg,1907.99
Lenovo,ThinkPad X1,14,Intel Core i7 7500U 2.7GHz,8GB,1.42kg,2590
Toshiba,Satellite Pro,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.5kg,973
Acer,TravelMate B117-M,11.6,Intel Celeron Dual Core N3050 1.6GHz,4GB,1.4kg,269
Lenovo,Yoga 910-13IKB,14,Intel Core i7 7500U 2.7GHz,16GB,1.38kg,1749
Asus,Chromebook Flip,12.5,Intel Core M M3-6Y30 0.9GHz,4GB,1.2kg,669
Toshiba,Portege Z30T-C-133,13.3,Intel Core i7 6500U 2.5GHz,16GB,1.36kg,1877
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,15.6,Intel Core i7 7500U 2.7GHz,4GB,2.1kg,689
Dell,Inspiron 5577,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.56kg,819
Lenovo,IdeaPad 320-15AST,15.6,AMD A9-Series 9420 2.9GHz,4GB,2.2kg,399
Lenovo,IdeaPad 320-15ABR,15.6,AMD A12-Series 9720P 3.6GHz,8GB,2.2kg,429
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),15.6,Intel Core i5 7200U 2.5GHz,4GB,2.1kg,621.45
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,15.6,Intel Core i3 6006U 2GHz,4GB,1.90kg,450
Dell,Vostro 5568,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.18kg,795
Acer,Spin 5,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.6kg,999
Lenovo,ThinkPad P51s,15.6,Intel Core i7 6500U 2.5GHz,16GB,2.18kg,1855
Lenovo,Thinkpad T460p,14,Intel Core i5 6300HQ 2.3GHz,8GB,1.8kg,1191
HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,17.3,AMD A10-Series 9620P 2.5GHz,6GB,2.71kg,655.01
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,1249
Dell,Latitude 5480,14,Intel Core i5 7440HQ 2.8GHz,8GB,1.64kg,1089
Dell,Vostro 5568,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.98kg,726
Asus,VivoBook E403NA,14,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.5kg,298
Dell,Latitude 5580,15.6,Intel Core i5 7300U 2.6GHz,16GB,1.93kg,1426.66
Lenovo,Thinkpad E470,14,Intel Core i5 7200U 2.5GHz,8GB,1.87kg,857.07
Dell,Latitude 5580,15.6,Intel Core i5 7300U 2.6GHz,8GB,1.9kg,1179
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),15.6,AMD A6-Series 7310 2GHz,4GB,2.19kg,298
Mediacom,Smartbook 142,14,Intel Atom Z8350 1.92GHz,4GB,1.4kg,265
HP,ProBook 470,17.3,Intel Core i7 7500U 2.7GHz,8GB,2.63kg,1200
Lenovo,ThinkPad X1,14,Intel Core i7 6500U 2.5GHz,8GB,1.17kg,1686.64
HP,Pavilion X360,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.58kg,836.6
Lenovo,ThinkPad T470s,14,Intel Core i5 7200U 2.5GHz,8GB,1.32kg,1499
Dell,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,32GB,4.36kg,3659.4
MSI,GL72M 7REX,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,2.7kg,1348.48
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,15.6,Intel Core i5 7200U 2.5GHz,4GB,1.9kg,489.9
Dell,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.2kg,719
Dell,Inspiron 5378,13.3,Intel Core i3 7100U 2.4GHz,4GB,1.71kg,649
Dell,Inspiron 5567,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.32kg,589.52
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,15.6,AMD A9-Series 9420 3GHz,4GB,2.1kg,489
Acer,Predator 17,17.3,Intel Core i7 6700HQ 2.6GHz,16GB,4.2kg,1935
Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,12GB,2.25kg,649
HP,15-BW091ND (A9-9420/6GB/1TB,15.6,AMD A9-Series A9-9420 3GHz,6GB,2.1kg,650
Acer,Extensa EX2540-58KR,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.4kg,559
Lenovo,ThinkPad 13,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.44kg,960
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),15.6,Intel Core i7 7500U 2.7GHz,4GB,1.85kg,779
HP,ZBook 15,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.6kg,2419
Dell,Inspiron 5379,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.55kg,659
MSI,GS63VR 7RF,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,1.8kg,2094.48
Acer,Aspire ES1-572,15.6,Intel Core i3 6006U 2GHz,4GB,2.4kg,410.8
Dell,Inspiron 7560,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.0kg,1207
Dell,Vostro 3568,15.6,Intel Core i3 6006U 2GHz,8GB,2kg,665
Toshiba,Tecra X40-D-10G,14,Intel Core i5 7200U 2.5GHz,8GB,1.25kg,1535
Lenovo,Flex 5,14,Intel Core i5 7200U 2.5GHz,8GB,1.7kg,999
Lenovo,Thinkpad P51s,15.6,Intel Core i7 7600U 2.8GHz,16GB,2.5kg,3299
Acer,Chromebook 14,14,Intel Celeron Dual Core N3060 1.6GHz,2GB,1.68kg,330
Samsung,Notebook 9,13.3,Intel Core i7 7500U 2.7GHz,16GB,0.81kg,1649
HP,250 G6,15.6,Intel Core i3 6006U 2GHz,8GB,1.86kg,539
Dell,Latitude 5480,14,Intel Core i5 7200U 2.5GHz,8GB,1.6kg,1126.71
HP,Zbook 17,17.3,Intel Xeon E3-1535M v5 2.9GHz,16GB,3kg,4389
Lenovo,N23 (N3060/4GB/128GB/W10),11.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.4kg,475
HP,EliteBook 850,15.6,Intel Core i5 6300U 2.4GHz,8GB,1.84kg,1900
Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,15.6,Intel Core i5 6300HQ 2.3GHz,4GB,2.45kg,579
Lenovo,Thinkpad T460,14,Intel Core i5 6200U 2.3GHz,4GB,1.7kg,1096
Asus,Pro P2540UA-XO0192R,15.6,Intel Core i7 7500U 2.7GHz,4GB,2.37kg,849.9
Lenovo,Yoga 900-13ISK,13.3,Intel Core i5 6260U 1.8GHz,8GB,1.3kg,1199
HP,15-cb003na (i5-7300HQ/8GB/1TB,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.2kg,1099
HP,ZBook 15,15.6,Intel Core i7 6700HQ 2.6GHz,8GB,2.59kg,1561
Dell,Alienware 17,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,4.42kg,2868.99
Acer,Aspire 3,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.1kg,599
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,1048
Dell,Latitude 7280,12.5,Intel Core i7 7600U 2.8GHz,16GB,1.18kg,1859
Google,Pixelbook (Core,12.3,Intel Core i5 7Y57 1.2GHz,8GB,1.1kg,1559
Asus,Zenbook UX330UA-AH5Q,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.2kg,1129
Dell,Latitude 3380,13.3,Intel Core i3 6006U 2GHz,4GB,1.65kg,849
Acer,TravelMate P238-M,13.3,Intel Core i5 6200U 2.3GHz,4GB,1.6kg,655
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,17.3,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.8kg,470.34
Dell,Inspiron 7559,15.6,Intel Core i7 6700HQ 2.6GHz,16GB,2.72kg,1099
Samsung,Notebook 9,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.31kg,1599
Acer,Aspire A315-31,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.1kg,298
Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,16GB,2.3kg,1181.27
Samsung,Notebook 9,15,Intel Core i7 7500U 2.7GHz,16GB,1.71kg,1799
Toshiba,Tecra A40-C-1E5,14,Intel Core i5 6200U 2.3GHz,4GB,1.75kg,1020
Dell,Inspiron 7567,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.62kg,1099
HP,EliteBook 820,12.5,Intel Core i5 6200U 2.3GHz,4GB,1.26kg,1244
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,15.6,Intel Core i7 7500U 2.7GHz,12GB,2.3kg,839
Lenovo,Thinkpad P50,15.6,Intel Core i7 6820HQ 2.7GHz,16GB,2.5kg,2370
Acer,Swift 3,14,Intel Core i3 7100U 2.4GHz,4GB,1.8kg,636
Razer,Blade Pro,14,Intel Core i7 7700HQ 2.8GHz,16GB,1.95kg,2899
Asus,Vivobook Max,15.6,Intel Pentium Dual Core N4200 1.1GHz,8GB,2kg,581.9
Dell,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,32GB,4.42kg,3588.8
Asus,Rog G752VS-BA171T,17.3,Intel Core i7 6700HQ 2.6GHz,16GB,4.3kg,2350
Toshiba,Tecra Z40-C-161,14,Intel Core i7 6600U 2.6GHz,16GB,1.47kg,1764
Lenovo,IdeaPad 110-15IBR,15.6,Intel Celeron Quad Core N3710 1.6GHz,8GB,2.2kg,329
Lenovo,ThinkPad T470s,14,Intel Core i7 7500U 2.7GHz,16GB,1.7kg,2299
MSI,GS43VR 7RE,14,Intel Core i7 7700HQ 2.8GHz,16GB,1.6kg,1891
MSI,GL62M (i5-7300HQ/8GB/1TB,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.2kg,1089
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,4GB,2.4kg,999
Acer,Predator G9-793,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.2kg,2299
Dell,Inspiron 7567,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.62kg,985
Asus,FX502VM-DM560T (i7-7700HQ/8GB/1TB,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.24kg,1339
Vero,K146 (N3350/4GB/32GB/W10),14,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.22kg,202.9
Lenovo,ThinkPad Yoga,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.37kg,1970
Lenovo,Yoga 510-15IKB,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.08kg,959
Apple,"MacBook 12""",12,Intel Core M 1.2GHz,8GB,0.920kg,1165
Lenovo,ThinkPad X1,14,Intel Core i5 7200U 2.5GHz,8GB,1.42kg,2330
Asus,R417NA-RS01 (N3350/4GB/32GB/W10),14,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.63kg,299
Dell,Latitude 3580,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.95kg,810
Lenovo,Yoga 910-13IKB,13.9,Intel Core i7 7500U 2.7GHz,8GB,1.38kg,1349
Dell,Vostro 5568,15.6,Intel Core i3 6006U 2GHz,8GB,2kg,739
HP,ZBook 17,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,3.14kg,2064.9
Asus,Pro P2540UA-XS51,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.37kg,1099
